Company Name,Ticker,Exchange,Equity Style,Russell Sub-Sector,Russell Industry
Abercrombie & Fitch Co,ANF,"New York Stock Exchange, Inc.",Small Value,Retail,Specialty retail
Acorn International Inc,ATV,"New York Stock Exchange, Inc.",Not Available,Media,Advertising agencies
Amazon.com Inc,AMZN,Nasdaq,Large Growth,Retail,Diversified retail
American Eagle Outfitters Inc,AEO,"New York Stock Exchange, Inc.",Small Value,Retail,Specialty retail
Aptiv PLC,APTV,"New York Stock Exchange, Inc.",Mid Growth,Auto & Auto Parts,Auto parts
Avon Products Inc,AVP,"New York Stock Exchange, Inc.",Small Growth,Consumer Products,Cosmetics
B2W - Companhia Digital,BTOW3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Growth,Retail,Diversified retail
Bajaj Auto Ltd,532977,BSE LTD,Large Blend,Leisure,Recreational vehicles and boats
Barnes & Noble Education Inc,BNED,"New York Stock Exchange, Inc.",Small Blend,Retail,Specialty retail
Bata India Ltd,500043,BSE LTD,Mid Growth,Consumer Products,Textiles apparel and shoes
Bed Bath & Beyond Inc,BBBY,Nasdaq,Small Value,Retail,Specialty retail
Best Buy Co Inc,BBY,"New York Stock Exchange, Inc.",Mid Value,Retail,Specialty retail
BorgWarner Inc,BWA,"New York Stock Exchange, Inc.",Mid Value,Auto & Auto Parts,Auto parts
Bosch Ltd,500530,BSE LTD,Large Value,Auto & Auto Parts,Auto parts
Boyd Group Services Inc,BYD,Toronto Stock Exchange,Mid Growth,Auto & Auto Parts,Auto services
Build-A-Bear Workshop Inc,BBW,"New York Stock Exchange, Inc.",Small Value,Retail,Specialty retail
Burlington Stores Inc,BURL,"New York Stock Exchange, Inc.",Mid Growth,Retail,Specialty retail
Canada Goose Holdings Inc,GOOS,Toronto Stock Exchange,Mid Growth,Consumer Products,Textiles apparel and shoes
CarMax Inc,KMX,"New York Stock Exchange, Inc.",Mid Growth,Retail,Specialty retail
Carnival PLC,CCL,London Stock Exchange,Small Value,Leisure,Leisure time
Cheesecake Factory Inc,CAKE,Nasdaq,Small Value,Leisure,Restaurants
China Automotive Systems Inc,CAAS,Nasdaq,Small Value,Auto & Auto Parts,Auto parts
China Tourism Group Duty Free Corp Ltd,601888,Shanghai Stock Exchange,Large Growth,Leisure,Hotel/motel
Chipotle Mexican Grill Inc,CMG,"New York Stock Exchange, Inc.",Large Growth,Leisure,Restaurants
CognaEducacao SA,COGN3,"B3 S.A. - Brasil, Bolsa, Balcão",Mid Growth,Consumer Services,Education services
Comcast Corp,CMCSA,Nasdaq,Large Value,Media,Cable television services
Compass Group PLC,CPG,London Stock Exchange,Large Blend,Consumer Services,Vending and catering services
Core-Mark Holding Co Inc,CORE,Nasdaq,Small Blend,Retail,Diversified retail
Costco Wholesale Corp,COST,Nasdaq,Large Blend,Retail,Diversified retail
Daily Journal Corp,DJCO,Nasdaq,Small Growth,Media,Publishing
Del Frisco’s Restaurant Group Inc,DFRG,Nasdaq,Small Value,Leisure,Restaurants
Dollar General Corp,DG,"New York Stock Exchange, Inc.",Large Blend,Retail,Diversified retail
Dollar Tree Inc,DLTR,Nasdaq,Mid Blend,Retail,Diversified retail
Dollarama Inc,DOL,Toronto Stock Exchange,Mid Growth,Retail,Diversified retail
Domino’s Pizza Inc,DPZ,"New York Stock Exchange, Inc.",Mid Growth,Leisure,Restaurants
Foot Locker Inc,FL,"New York Stock Exchange, Inc.",Small Blend,Retail,Specialty retail
Ford Motor Co,F,"New York Stock Exchange, Inc.",Large Value,Auto & Auto Parts,Automobiles
Gap Inc,GPS,"New York Stock Exchange, Inc.",Mid Value,Retail,Specialty retail
General Motors Co,GM,"New York Stock Exchange, Inc.",Large Blend,Auto & Auto Parts,Automobiles
H&R Block Inc,HRB,"New York Stock Exchange, Inc.",Small Value,Consumer Services,Consumer services: Miscellaneous
Harley-Davidson Inc,HOG,"New York Stock Exchange, Inc.",Small Value,Leisure,Recreational vehicles and boats
Hasbro Inc,HAS,Nasdaq,Mid Blend,Consumer Products,Toys
Hero MotoCorp Ltd,500182,BSE LTD,Large Value,Leisure,Recreational vehicles and boats
Hibbett Sports Inc,HIBB,Nasdaq,Small Blend,Retail,Specialty retail
Honda Motor Co Ltd,HMC,"New York Stock Exchange, Inc.",Large Value,Auto & Auto Parts,Automobiles
Hostelworld Group PLC,HSW,London Stock Exchange,Small Value,Leisure,Leisure time
Hyatt Hotels Corp,H,"New York Stock Exchange, Inc.",Mid Blend,Leisure,Hotel/motel
Imax Corp,IMAX,"New York Stock Exchange, Inc.",Small Growth,Media,Entertainment
InterContinental Hotels Group PLC,IHG,London Stock Exchange,Mid Blend,Leisure,Hotel/motel
Jubilant Foodworks Ltd,533155,BSE LTD,Mid Growth,Leisure,Restaurants
Lands’ End Inc,LE,Nasdaq,Small Blend,Retail,Diversified retail
Las Vegas Sands Corp,LVS,"New York Stock Exchange, Inc.",Large Value,Leisure,Casinos and gambling
LCI Industries Inc,LCII,"New York Stock Exchange, Inc.",Small Growth,Leisure,Recreational vehicles and boats
Localiza Rent A Car SA,RENT3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Growth,Consumer Services,Rental and leasing services: Consumer
Lojas Americanas SA,LAME4,"B3 S.A. - Brasil, Bolsa, Balcão",Large Growth,Retail,Diversified retail
Lojas Renner SA,LREN3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Growth,Retail,Diversified retail
Lookers PLC,LOOK,London Stock Exchange,Small Value,Retail,Specialty retail
Lululemon Athletica Inc,LULU,Nasdaq,Large Growth,Consumer Products,Textiles apparel and shoes
Lyft Inc,LYFT,Nasdaq,Not Available,Consumer Services,Consumer services: Miscellaneous
Macy’s Inc,M,"New York Stock Exchange, Inc.",Small Value,Retail,Diversified retail
Magazine Luiza SA,MGLU3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Growth,Retail,Diversified retail
Mahindra & Mahindra Ltd,500520,BSE LTD,Large Blend,Auto & Auto Parts,Automobiles
Marriott International Inc,MAR,Nasdaq,Large Value,Leisure,Hotel/motel
Maruti Suzuki India Ltd,532500,BSE LTD,Large Blend,Auto & Auto Parts,Automobiles
Mattel Inc,MAT,Nasdaq,Small Blend,Consumer Products,Toys
McDonald’s Corp,MCD,"New York Stock Exchange, Inc.",Large Blend,Leisure,Restaurants
Midea Group Co Ltd,333,Shenzhen Stock Exchange,Large Blend,Consumer Products,Household appliances
Movado Group Inc,MOV,"New York Stock Exchange, Inc.",Small Value,Consumer Products,Luxury items
New Oriental Education & Technology Group Inc,EDU,"New York Stock Exchange, Inc.",Not Available,Consumer Services,Education services
Next PLC,NXT,London Stock Exchange,Mid Blend,Retail,Diversified retail
Nike Inc,NKE,"New York Stock Exchange, Inc.",Large Growth,Consumer Products,Textiles apparel and shoes
Norwegian Cruise Line Holdings Ltd,NCLH,"New York Stock Exchange, Inc.",Mid Blend,Leisure,Leisure time
On The Beach Group PLC,OTB,London Stock Exchange,Small Growth,Leisure,Leisure time
Papa John’s International Inc,PZZA,Nasdaq,Small Growth,Leisure,Restaurants
Pearson PLC,PSON,London Stock Exchange,Mid Value,Consumer Services,Education services
Planet Fitness Inc,PLNT,"New York Stock Exchange, Inc.",Mid Growth,Leisure,Leisure time
Red Lion Hotels Corp,RLH,"New York Stock Exchange, Inc.",Small Blend,Leisure,Hotel/motel
Restaurant Brands International Inc,QSR,Toronto Stock Exchange,Large Blend,Leisure,Restaurants
Revlon Inc,REV,"New York Stock Exchange, Inc.",Small Value,Consumer Products,Cosmetics
Ritchie Bros Auctioneers Inc,RBA,"New York Stock Exchange, Inc.",Mid Growth,Consumer Services,Consumer services: Miscellaneous
Sirius XM Holdings Inc,SIRI,Nasdaq,Large Blend,Media,Radio and TV broadcasters
Smith & Wesson Brands Inc,SWBI,Nasdaq,Small Blend,Leisure,Leisure time
Starbucks Corp,SBUX,Nasdaq,Large Blend,Leisure,Restaurants
Stitch Fix Inc,SFIX,Nasdaq,Small Growth,Retail,Diversified retail
Tailored Brands Inc,TLRD,"New York Stock Exchange, Inc.",Small Value,Retail,Specialty retail
TAL Education Group,TAL,"New York Stock Exchange, Inc.",Not Available,Consumer Services,Education services
Target Corp,TGT,"New York Stock Exchange, Inc.",Large Blend,Retail,Diversified retail
Tata Motors Ltd,500570,BSE LTD,Large Value,Auto & Auto Parts,Automobiles
Tesla Inc,TSLA,Nasdaq,Large Growth,Auto & Auto Parts,Automobiles
Texas Roadhouse Inc,TXRH,Nasdaq,Small Growth,Leisure,Restaurants
The Container Store Group Inc,TCS,"New York Stock Exchange, Inc.",Small Value,Retail,Specialty retail
The Estee Lauder Companies Inc,EL,"New York Stock Exchange, Inc.",Large Blend,Consumer Products,Cosmetics
The Walt Disney Co,DIS,"New York Stock Exchange, Inc.",Large Blend,Media,Entertainment
The Wendy’s Co,WEN,Nasdaq,Mid Blend,Leisure,Restaurants
Tiffany & Co,TIF,"New York Stock Exchange, Inc.",Mid Blend,Consumer Products,Luxury items
Titan Co Ltd,500114,BSE LTD,Large Growth,Consumer Products,Luxury items
TJX Companies Inc,TJX,"New York Stock Exchange, Inc.",Large Blend,Retail,Specialty retail
Toyota Motor Corp,TM,"New York Stock Exchange, Inc.",Large Value,Auto & Auto Parts,Automobiles
Uber Technologies Inc,UBER,"New York Stock Exchange, Inc.",Not Available,Consumer Services,Consumer services: Miscellaneous
Ulta Beauty Inc,ULTA,Nasdaq,Mid Growth,Retail,Specialty retail
Under Armour Inc,UAA,"New York Stock Exchange, Inc.",Mid Blend,Consumer Products,Textiles apparel and shoes
Urban Outfitters Inc,URBN,Nasdaq,Small Value,Retail,Specialty retail
Vera Bradley Inc,VRA,Nasdaq,Small Blend,Consumer Products,Textiles apparel and shoes
VF Corp,VFC,"New York Stock Exchange, Inc.",Mid Blend,Consumer Products,Textiles apparel and shoes
Whitbread PLC,WTB,London Stock Exchange,Mid Blend,Leisure,Restaurants
Wyndham Destinations Inc,WYND,"New York Stock Exchange, Inc.",Small Value,Leisure,Hotel/motel
Yum Brands Inc,YUM,"New York Stock Exchange, Inc.",Large Blend,Leisure,Restaurants
Alimentation Couche- Tard Inc,ATD.B,Toronto Stock Exchange,Large Growth,"Personal Care, Drug & Grocery Stores",Drug and grocery store chains
Ambev SA,ABEV3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Blend,"Food, Beverage & Tobacco",Beverage: Brewers and distillers
Atacadao SA,CRFB3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Blend,"Personal Care, Drug & Grocery Stores",Drug and grocery store chains
BRF SA,BRFS3,"B3 S.A. - Brasil, Bolsa, Balcão",Mid Blend,"Food, Beverage & Tobacco",Foods
Campbell Soup Co,CPB,"New York Stock Exchange, Inc.",Mid Value,"Food, Beverage & Tobacco",Foods
Casey's General Stores Inc,CASY,Nasdaq,Mid Growth,"Personal Care, Drug & Grocery Stores",Drug and grocery store chains
Coca-Cola Co,KO,"New York Stock Exchange, Inc.",Large Value,"Food, Beverage & Tobacco",Beverage: Soft drinks
Colgate-Palmolive Co,CL,"New York Stock Exchange, Inc.",Large Value,"Personal Care, Drug & Grocery Stores",Personal care
Companhia Brasileira De Distribuicao,PCAR4,"B3 S.A. - Brasil, Bolsa, Balcão",Mid Value,"Personal Care, Drug & Grocery Stores",Drug and grocery store chains
Corteva Inc,CTVA,"New York Stock Exchange, Inc.",Not Available,"Food, Beverage & Tobacco",Foods
CVS Health Corp,CVS,"New York Stock Exchange, Inc.",Large Value,"Personal Care, Drug & Grocery Stores",Drug and grocery store chains
General Mills Inc,GIS,"New York Stock Exchange, Inc.",Large Value,"Food, Beverage & Tobacco",Foods
Godrej Agrovet Ltd,540743,BSE LTD,Mid Blend,"Food, Beverage & Tobacco",Agriculture fishing and ranching
Godrej Consumer Products Ltd,532424,BSE LTD,Large Blend,"Personal Care, Drug & Grocery Stores",Personal care
Hindustan Unilever Ltd,500696,BSE LTD,Large Growth,"Personal Care, Drug & Grocery Stores",Personal care
ITC Ltd,500875,BSE LTD,Large Blend,"Food, Beverage & Tobacco",Tobacco
J&J Snack Foods Corp,JJSF,Nasdaq,Small Growth,"Food, Beverage & Tobacco",Foods
JBS SA,JBSS3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Blend,"Food, Beverage & Tobacco",Foods
Kellogg Co,K,"New York Stock Exchange, Inc.",Mid Value,"Food, Beverage & Tobacco",Foods
Keurig Dr Pepper Inc,KDP,"New York Stock Exchange, Inc.",Large Blend,"Food, Beverage & Tobacco",Beverage: Soft drinks
Kweichow Moutai Co Ltd,600519,Shanghai Stock Exchange,Large Growth,"Food, Beverage & Tobacco",Beverage: Brewers and distillers
M Dias Branco SA Industria e Comercio de Alimentos,MDIA3,"B3 S.A. - Brasil, Bolsa, Balcão",Mid Growth,"Food, Beverage & Tobacco",Foods
McCormick & Co Inc,MKC,"New York Stock Exchange, Inc.",Large Blend,"Food, Beverage & Tobacco",Foods
McKesson Corp,MCK,"New York Stock Exchange, Inc.",Large Value,"Personal Care, Drug & Grocery Stores",Drug and grocery store chains
Molson Coors Beverage Co,TAP,"New York Stock Exchange, Inc.",Mid Value,"Food, Beverage & Tobacco",Beverage: Brewers and distillers
Monster Beverage Corp,MNST,Nasdaq,Large Growth,"Food, Beverage & Tobacco",Beverage: Soft drinks
National Beverage Corp,FIZZ,Nasdaq,Small Growth,"Food, Beverage & Tobacco",Beverage: Soft drinks
Natura Cosmeticos SA,NATU3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Growth,"Personal Care, Drug & Grocery Stores",Personal care
Nestle India Ltd,500790,BSE LTD,Large Growth,"Food, Beverage & Tobacco",Foods
PepsiCo Inc,PEP,Nasdaq,Large Value,"Food, Beverage & Tobacco",Beverage: Soft drinks
Procter & Gamble Co,PG,"New York Stock Exchange, Inc.",Large Value,"Personal Care, Drug & Grocery Stores",Personal care
Raia Drogasil SA,RADL3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Growth,"Personal Care, Drug & Grocery Stores",Drug and grocery store chains
Reckitt Benckiser Group PLC,RB.,London Stock Exchange,Large Blend,"Personal Care, Drug & Grocery Stores",Personal care
Rite Aid Corp,RAD,"New York Stock Exchange, Inc.",Small Value,"Personal Care, Drug & Grocery Stores",Drug and grocery store chains
Sainsbury (J) PLC,SBRY,London Stock Exchange,Mid Value,"Personal Care, Drug & Grocery Stores",Drug and grocery store chains
Sprouts Farmers Market Inc,SFM,Nasdaq,Small Blend,"Personal Care, Drug & Grocery Stores",Drug and grocery store chains
Sysco Corp,SYY,"New York Stock Exchange, Inc.",Large Value,"Food, Beverage & Tobacco",Foods
The Hershey Co,HSY,"New York Stock Exchange, Inc.",Large Blend,"Food, Beverage & Tobacco",Foods
Tootsie Roll Industries Inc,TR,"New York Stock Exchange, Inc.",Small Blend,"Food, Beverage & Tobacco",Foods
Treehouse Foods Inc,THS,"New York Stock Exchange, Inc.",Small Value,"Food, Beverage & Tobacco",Foods
Tyson Foods Inc,TSN,"New York Stock Exchange, Inc.",Mid Value,"Food, Beverage & Tobacco",Foods
Unilever PLC,ULVR,London Stock Exchange,Large Value,"Personal Care, Drug & Grocery Stores",Personal care
Unilever PLC,UL,"New York Stock Exchange, Inc.",Large Value,"Personal Care, Drug & Grocery Stores",Personal care
United Natural Foods Inc,UNFI,"New York Stock Exchange, Inc.",Small Value,"Food, Beverage & Tobacco",Foods
WD-40 Co,WDFC,Nasdaq,Small Blend,"Personal Care, Drug & Grocery Stores",Personal care
Wuliangye Yibin Co Ltd,858,Shenzhen Stock Exchange,Large Growth,"Food, Beverage & Tobacco",Beverage: Brewers and distillers
Wynnstay Group PLC,WYN,London Stock Exchange,Small Value,"Food, Beverage & Tobacco",Foods
X5 Retail Group NV,FIVE,London Stock Exchange,Not Available,"Personal Care, Drug & Grocery Stores",Drug and grocery store chains
Zenabis Global Inc,ZENA,Toronto Stock Exchange,Small Value,"Food, Beverage & Tobacco",
Aemetis Inc,AMTX,Nasdaq,Small Blend,Alternative Energy,Alternative energy
BP PLC,BP,"New York Stock Exchange, Inc.",Large Blend,Non-renewable Energy,Oil: Integrated
Cameco Corp,CCJ,"New York Stock Exchange, Inc.",Mid Growth,Alternative Energy,Alternative energy
Canadian Natural Resources Ltd,CNQ,Toronto Stock Exchange,Large Value,Non-renewable Energy,Oil: Crude producers
Chevron Corp,CVX,"New York Stock Exchange, Inc.",Large Blend,Non-renewable Energy,Oil: Integrated
China Petroleum & Chemical Corp,386,Hong Kong Exchanges And Clearing Ltd,Large Value,Non-renewable Energy,Oil: Integrated
China Petroleum & Chemical Corp,SNP,"New York Stock Exchange, Inc.",Large Value,Non-renewable Energy,Oil: Integrated
CNOOC Ltd,CEO,"New York Stock Exchange, Inc.",Large Blend,Non-renewable Energy,Oil: Crude producers
Coal India Ltd,533278,BSE LTD,Large Value,Non-renewable Energy,Coal
Continental Resources Inc,CLR,"New York Stock Exchange, Inc.",Mid Value,Non-renewable Energy,Oil: Crude producers
Cosan SA,CSAN3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Blend,Alternative Energy,Alternative energy
Energy Transfer LP,ET,"New York Stock Exchange, Inc.",Mid Value,Non-renewable Energy,Gas pipeline
Exxon Mobil Corp,XOM,"New York Stock Exchange, Inc.",Large Value,Non-renewable Energy,Oil: Integrated
Glencore PLC,GLEN,London Stock Exchange,Large Blend,Non-renewable Energy,Coal
Hess Corp,HES,"New York Stock Exchange, Inc.",Mid Blend,Non-renewable Energy,Oil: Integrated
Lamprell PLC,LAM,London Stock Exchange,Small Value,Energy Equipment & Services,Oil well equipment and services
National Oilwell Varco Inc,NOV,"New York Stock Exchange, Inc.",Mid Value,Energy Equipment & Services,Oil well equipment and services
Natural Gas Services Group Inc,NGS,"New York Stock Exchange, Inc.",Small Value,Energy Equipment & Services,Oil well equipment and services
Oil & Natural Gas Corp Ltd,500312,BSE LTD,Large Blend,Non-renewable Energy,Oil: Crude producers
ONEOK Inc,OKE,"New York Stock Exchange, Inc.",Mid Value,Non-renewable Energy,Oil: Refining & marketing
Petrobras Distribuidora SA,BRDT3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Value,Non-renewable Energy,Oil: Refining & marketing
PetroChina Co Ltd,857,Hong Kong Exchanges And Clearing Ltd,Large Blend,Non-renewable Energy,Oil: Integrated
PetroChina Co Ltd,PTR,"New York Stock Exchange, Inc.",Large Blend,Non-renewable Energy,Oil: Integrated
Petroleo Brasileiro SA Petrobras,PETR3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Value,Non-renewable Energy,Oil: Integrated
Petroleo Brasileiro SA Petrobras,PETR4,"B3 S.A. - Brasil, Bolsa, Balcão",Large Value,Non-renewable Energy,Oil: Integrated
Phillips 66,PSX,"New York Stock Exchange, Inc.",Large Value,Non-renewable Energy,Oil: Refining & marketing
Reliance Industries Ltd,500325,BSE LTD,Large Blend,Non-renewable Energy,Oil: Refining & marketing
Royal Dutch Shell PLC,RDSA,London Stock Exchange,Large Blend,Non-renewable Energy,Oil: Integrated
SJVN Ltd,533206,BSE LTD,Mid Value,Alternative Energy,Alternative energy
Suncor Energy Inc,SU,Toronto Stock Exchange,Large Value,Non-renewable Energy,Oil: Integrated
Sunoco LP,SUN,"New York Stock Exchange, Inc.",Small Blend,Non-renewable Energy,Oil: Refining & marketing
Torchlight Energy Resources Inc,TRCH,Nasdaq,Small Growth,Non-renewable Energy,Oil: Crude producers
Tullow Oil PLC,TLW,London Stock Exchange,Small Value,Non-renewable Energy,Oil: Crude producers
Ultrapar Participacoes SA,UGPA3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Blend,Non-renewable Energy,Oil: Refining & marketing
Aflac Inc,AFL,"New York Stock Exchange, Inc.",Large Value,Insurance,Insurance: Life
Allstate Corp,ALL,"New York Stock Exchange, Inc.",Large Value,Insurance,Insurance: Property-casualty
American Express Co,AXP,"New York Stock Exchange, Inc.",Large Blend,Consumer Finance & Credit Services,Financial data & systems
Artisan Partners Asset Management Inc,APAM,"New York Stock Exchange, Inc.",Small Value,Investment Banking & Brokerage,Asset management & custodian
Aviva PLC,AV.,London Stock Exchange,Mid Value,Insurance,Insurance: Multi- line
Axis Bank Ltd,532215,BSE LTD,Large Blend,Banks,Banks: Diversified
B3 SA - Brasil Bolsa Balcao,B3SA3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Growth,Investment Banking & Brokerage,Securities brokerage & services
Bajaj Finserv Ltd,532978,BSE LTD,Large Growth,Insurance,Insurance: Multi- line
Banco BTG Pactual S.A.,BPAC11,"B3 S.A. - Brasil, Bolsa, Balcão",Not Available,Investment Banking & Brokerage,Diversified financial services
Banco do Brasil SA BB Brasil,BBAS3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Value,Banks,Banks: Diversified
Banco Santander (Brasil) SA,SANB11,"B3 S.A. - Brasil, Bolsa, Balcão",Not Available,Banks,Banks: Diversified
Bank Bradesco SA,BBDC3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Value,Banks,Banks: Diversified
Bank Bradesco SA,BBDC4,"B3 S.A. - Brasil, Bolsa, Balcão",Large Value,Banks,Banks: Diversified
Bank Of Ningbo Co Ltd,2142,Shenzhen Stock Exchange,Large Blend,Banks,Banks: Diversified
Bank of Nova Scotia,BNS,Toronto Stock Exchange,Large Value,Banks,Banks: Diversified
Bank OZK,OZK,Nasdaq,Small Blend,Banks,Banks: Diversified
Barclays PLC,BCS,"New York Stock Exchange, Inc.",Large Value,Banks,Banks: Diversified
BB Seguridade Participacoes SA,BBSE3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Blend,Insurance,Insurance: Multi- line
Blackstone Group Inc,BX,"New York Stock Exchange, Inc.",Large Blend,Investment Banking & Brokerage,Asset management & custodian
Boston Private Financial Holdings Inc,BPFH,Nasdaq,Small Value,Banks,Banks: Diversified
BR Malls Participacoes SA,BRML3,"B3 S.A. - Brasil, Bolsa, Balcão",Mid Value,Real Estate,Real estate holding and development
Canadian Western Bank,CWB,Toronto Stock Exchange,Small Blend,Banks,Banks: Diversified
China Construction Bank Corp,939,Hong Kong Exchanges And Clearing Ltd,Large Value,Banks,Banks: Diversified
China Finance Online Co Ltd,JRJC,Nasdaq,Not Available,Consumer Finance & Credit Services,Financial data & systems
China Vanke Co Ltd,2202,Hong Kong Exchanges And Clearing Ltd,Large Blend,Real Estate,Real estate holding and development
China Vanke Co Ltd,2,Shenzhen Stock Exchange,Large Blend,Real Estate,Real estate holding and development
China World Trade Center Co Ltd,600007,Shanghai Stock Exchange,Mid Blend,Real Estate,Diversified real estate activities
Cielo SA,CIEL3,"B3 S.A. - Brasil, Bolsa, Balcão",Mid Value,Consumer Finance & Credit Services,Financial data & systems
Citigroup Inc,C,"New York Stock Exchange, Inc.",Large Value,Investment Banking & Brokerage,Diversified financial services
City of London Investment Group PLC,CLIG,London Stock Exchange,Small Value,Investment Banking & Brokerage,Asset management & custodian
Credit Suisse Group AG,CS,"New York Stock Exchange, Inc.",Large Value,Investment Banking & Brokerage,Diversified financial services
Deutsche Bank AG,DB,"New York Stock Exchange, Inc.",Large Value,Investment Banking & Brokerage,Diversified financial services
Digital Realty Trust Inc,DLR,"New York Stock Exchange, Inc.",Large Blend,Real Estate Investment Trusts (REITs),Equity REIT: Other Specialty
Discover Financial Services,DFS,"New York Stock Exchange, Inc.",Mid Blend,Banks,Banks: Diversified
Experian PLC,EXPN,London Stock Exchange,Large Blend,Consumer Finance & Credit Services,Financial data & systems
Extra Space Storage Inc,EXR,"New York Stock Exchange, Inc.",Mid Blend,Real Estate Investment Trusts (REITs),Equity REIT: Other Specialty
Fair Isaac Corp,FICO,"New York Stock Exchange, Inc.",Mid Growth,Consumer Finance & Credit Services,Financial data & systems
Fairfax Financial Holdings Ltd,FFH,Toronto Stock Exchange,Mid Blend,Insurance,Insurance: Property-casualty
Glacier Bancorp Inc,GBCI,Nasdaq,Small Blend,Banks,Banks: Diversified
Great Elm Capital Group Inc,GEC,Nasdaq,Small Blend,Investment Banking & Brokerage,Asset management & custodian
Great-West Lifeco Inc,GWO,Toronto Stock Exchange,Large Value,Insurance,Insurance: Life
HDFC Bank Ltd,500180,BSE LTD,Large Growth,Banks,Banks: Diversified
Housing Development Finance Corp Ltd,500010,BSE LTD,Large Blend,Consumer Finance & Credit Services,Commercial finance & mortgage companies
HSBC Holdings PLC,HSBA,London Stock Exchange,Large Value,Banks,Banks: Diversified
ICICI Bank Ltd,532174,BSE LTD,Large Blend,Banks,Banks: Diversified
Intercontinental Exchange Inc,ICE,"New York Stock Exchange, Inc.",Large Blend,Investment Banking & Brokerage,Securities brokerage & services
IRB Brasil Resseguros SA,IRBR3,"B3 S.A. - Brasil, Bolsa, Balcão",Mid Growth,Insurance,Insurance: Multi- line
Iron Mountain Inc,IRM,"New York Stock Exchange, Inc.",Mid Value,Real Estate Investment Trusts (REITs),Equity REIT: Other Specialty
Itau Unibanco Holding SA,ITUB4,"B3 S.A. - Brasil, Bolsa, Balcão",Large Value,Banks,Banks: Diversified
Itausa Investimentos ITAU SA,ITSA4,"B3 S.A. - Brasil, Bolsa, Balcão",Large Value,Investment Banking & Brokerage,Diversified financial services
JPMorgan Chase & Co,JPM,"New York Stock Exchange, Inc.",Large Value,Investment Banking & Brokerage,Diversified financial services
KeyCorp,KEY,"New York Stock Exchange, Inc.",Mid Blend,Banks,Banks: Diversified
KKR & Co Inc,KKR,"New York Stock Exchange, Inc.",Large Blend,Investment Banking & Brokerage,Asset management & custodian
Kotak Mahindra Bank Ltd,500247,BSE LTD,Large Growth,Investment Banking & Brokerage,Diversified financial services
Lazard Ltd,LAZ,"New York Stock Exchange, Inc.",Small Value,Investment Banking & Brokerage,Diversified financial services
Legg Mason Inc,LM,"New York Stock Exchange, Inc.",Mid Value,Investment Banking & Brokerage,Asset management & custodian
Lloyds Banking Group PLC,LLOY,London Stock Exchange,Large Value,Banks,Banks: Diversified
Loews Corp,L,"New York Stock Exchange, Inc.",Mid Value,Insurance,Insurance: Multi- line
M&T Bank Corp,MTB,"New York Stock Exchange, Inc.",Mid Value,Banks,Banks: Diversified
Mastercard Inc,MA,"New York Stock Exchange, Inc.",Large Growth,Consumer Finance & Credit Services,Financial data & systems
Max Financial Services Ltd,500271,BSE LTD,Mid Blend,Insurance,Insurance: Life
MetLife Inc,MET,"New York Stock Exchange, Inc.",Large Value,Insurance,Insurance: Multi- line
Moody’s Corporation,MCO,"New York Stock Exchange, Inc.",Large Growth,Consumer Finance & Credit Services,Financial data & systems
Mr. Cooper Group Inc,COOP,Nasdaq,Small Blend,Insurance,Insurance: Multi- line
Multiplan Empreendimentos Imobiliarios SA,MULT3,"B3 S.A. - Brasil, Bolsa, Balcão",Mid Growth,Real Estate,Real estate holding and development
NatWest Group PLC,NWG,London Stock Exchange,Large Value,Banks,Banks: Diversified
Old National Bancorp,ONB,Nasdaq,Small Value,Banks,Banks: Diversified
