Company Name,Ticker,Exchange,Equity Style,Russell Sub-Sector,Russell Industry
Oppenheimer Holdings Inc,OPY,"New York Stock Exchange, Inc.",Small Value,Investment Banking & Brokerage,Asset management & custodian
PayPal Holdings Inc,PYPL,Nasdaq,Large Growth,Consumer Finance & Credit Services,Financial data & systems
Physicians Realty Trust,DOC,"New York Stock Exchange, Inc.",Small Blend,Real Estate Investment Trusts (REITs),Equity REIT: Health Care
Ping An Insurance (Group) Co. of China Ltd,2318,Hong Kong Exchanges And Clearing Ltd,Large Value,Insurance,Insurance: Life
PNC Financial Services Group Inc,PNC,"New York Stock Exchange, Inc.",Large Value,Banks,Banks: Diversified
Porto Seguro SA,PSSA3,"B3 S.A. - Brasil, Bolsa, Balcão",Mid Blend,Insurance,Insurance: Multi- line
Prudential Financial Inc,PRU,"New York Stock Exchange, Inc.",Large Value,Insurance,Insurance: Life
Public Storage,PSA,"New York Stock Exchange, Inc.",Large Value,Real Estate Investment Trusts (REITs),Equity REIT: Storage
REC Ltd,532955,BSE LTD,Mid Value,Consumer Finance & Credit Services,Commercial finance & mortgage companies
Regions Financial Corp,RF,"New York Stock Exchange, Inc.",Mid Value,Banks,Banks: Diversified
Schroders PLC,SDR,London Stock Exchange,Mid Blend,Investment Banking & Brokerage,Asset management & custodian
SEI Investments Co,SEIC,Nasdaq,Mid Growth,Investment Banking & Brokerage,Asset management & custodian
Standard Chartered PLC,STAN,London Stock Exchange,Large Blend,Banks,Banks: Diversified
State Bank of India,500112,BSE LTD,Large Value,Banks,Banks: Diversified
Sul America SA,SULA11,"B3 S.A. - Brasil, Bolsa, Balcão",Not Available,Insurance,Insurance: Multi- line
SuRo Capital Corp,SSSS,Nasdaq,Small Growth,Investment Banking & Brokerage,Asset management & custodian
The GEO Group Inc,GEO,"New York Stock Exchange, Inc.",Small Value,Real Estate Investment Trusts (REITs),Equity REIT: Other Specialty
UBS Group AG,UBS,"New York Stock Exchange, Inc.",Large Value,Investment Banking & Brokerage,Asset management & custodian
Visa Inc,V,"New York Stock Exchange, Inc.",Large Growth,Consumer Finance & Credit Services,Financial data & systems
Wells Fargo & Co,WFC,"New York Stock Exchange, Inc.",Large Value,Banks,Banks: Diversified
Westpac Banking Corp,WBK,"New York Stock Exchange, Inc.",Large Value,Banks,Banks: Diversified
Yes Bank Ltd,532648,BSE LTD,Large Value,Banks,Banks: Diversified
AbbVie Inc,ABBV,"New York Stock Exchange, Inc.",Large Value,Pharmaceuticals & Biotech,Pharmaceuticals
Acadia Healthcare Co Inc,ACHC,Nasdaq,Small Value,Health Care Services,Health care services
Amgen Inc,AMGN,Nasdaq,Large Value,Pharmaceuticals & Biotech,Biotechnology
AMN Healthcare Services Inc,AMN,"New York Stock Exchange, Inc.",Small Growth,Health Care Services,Health care services
AstraZeneca PLC,AZN,London Stock Exchange,Large Blend,Pharmaceuticals & Biotech,Pharmaceuticals
Aurobindo Pharma Ltd,524804,BSE LTD,Large Blend,Pharmaceuticals & Biotech,Pharmaceuticals
Aurora Cannabis Inc,ACB,Toronto Stock Exchange,Small Growth,Pharmaceuticals & Biotech,Pharmaceuticals
Baxter International Inc,BAX,"New York Stock Exchange, Inc.",Large Blend,Medical Equipment And Services,Medical equipment
Bristol-Myers Squibb Company,BMY,"New York Stock Exchange, Inc.",Large Value,Pharmaceuticals & Biotech,Pharmaceuticals
Cancer Genetics Inc,CGIX,Nasdaq,Small Value,Pharmaceuticals & Biotech,Biotechnology
Cardiovascular Systems Inc,CSII,Nasdaq,Small Growth,Medical Equipment And Services,Medical & dental instruments & supplies
Catalyst Pharmaceuticals Inc,CPRX,Nasdaq,Small Growth,Pharmaceuticals & Biotech,Biotechnology
Celgene Corp,CELG,Nasdaq,Large Blend,Pharmaceuticals & Biotech,Biotechnology
Centene Corp,CNC,"New York Stock Exchange, Inc.",Large Blend,Health Care Services,Health care management services
Cipla Ltd,500087,BSE LTD,Large Blend,Pharmaceuticals & Biotech,Pharmaceuticals
Dr Reddy’s Laboratories Ltd,500124,BSE LTD,Large Blend,Pharmaceuticals & Biotech,Pharmaceuticals
Endo International PLC,ENDP,Nasdaq,Small Value,Pharmaceuticals & Biotech,Pharmaceuticals
Gilead Sciences Inc,GILD,Nasdaq,Large Value,Pharmaceuticals & Biotech,Pharmaceuticals
GlaxoSmithKline PLC,GSK,"New York Stock Exchange, Inc.",Large Value,Pharmaceuticals & Biotech,Pharmaceuticals
Globus Medical Inc,GMED,"New York Stock Exchange, Inc.",Mid Growth,Medical Equipment And Services,Medical & dental instruments & supplies
Granules India Ltd,532482,BSE LTD,Mid Growth,Pharmaceuticals & Biotech,Pharmaceuticals
Harvard Bioscience Inc,HBIO,Nasdaq,Small Value,Pharmaceuticals & Biotech,Biotechnology
Hypera SA,HYPE3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Blend,Pharmaceuticals & Biotech,Pharmaceuticals
Illumina Inc,ILMN,Nasdaq,Large Growth,Medical Equipment And Services,Medical equipment
Jiangsu Hengrui Medicine Co Ltd,600276,Shanghai Stock Exchange,Large Growth,Pharmaceuticals & Biotech,Pharmaceuticals
Johnson & Johnson,JNJ,"New York Stock Exchange, Inc.",Large Value,Pharmaceuticals & Biotech,Pharmaceuticals
Mediclinic International PLC,MDC,London Stock Exchange,Small Value,Health Care Services,Health care facilities
Merck & Co Inc,MRK,"New York Stock Exchange, Inc.",Large Value,Pharmaceuticals & Biotech,Pharmaceuticals
Myriad Genetics Inc,MYGN,Nasdaq,Small Value,Pharmaceuticals & Biotech,Biotechnology
Notre Dame Intermedica Participacoes SA,GNDI3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Growth,Health Care Services,Health care facilities
Novartis AG,NVS,"New York Stock Exchange, Inc.",Large Value,Pharmaceuticals & Biotech,Pharmaceuticals
Pfizer Inc,PFE,"New York Stock Exchange, Inc.",Large Value,Pharmaceuticals & Biotech,Pharmaceuticals
Piramal Enterprises Ltd,500302,BSE LTD,Mid Blend,Pharmaceuticals & Biotech,Pharmaceuticals
Prestige Consumer Healthcare Inc,PBH,"New York Stock Exchange, Inc.",Small Value,Pharmaceuticals & Biotech,Pharmaceuticals
Regeneron Pharmaceuticals Inc,REGN,Nasdaq,Large Growth,Pharmaceuticals & Biotech,Biotechnology
Shenzhen Mindray Bio-Medical Electronics Co Ltd,300760,Shenzhen Stock Exchange,Large Growth,Medical Equipment And Services,Medical equipment
Smith & Nephew PLC,SN.,London Stock Exchange,Large Blend,Medical Equipment And Services,Medical & dental instruments & supplies
Sun Pharmaceuticals Industries Ltd,524715,BSE LTD,Large Blend,Pharmaceuticals & Biotech,Pharmaceuticals
Takeda Pharmaceutical Co Ltd,TAK,"New York Stock Exchange, Inc.",Large Blend,Pharmaceuticals & Biotech,Pharmaceuticals
Teva Pharmaceutical Industries Ltd,TEVA,"New York Stock Exchange, Inc.",Mid Value,Pharmaceuticals & Biotech,Pharmaceuticals
Tivity Health Inc,TVTY,Nasdaq,Small Growth,Health Care Services,Health care services
UnitedHealth Group Inc,UNH,"New York Stock Exchange, Inc.",Large Blend,Health Care Services,Health care management services
Zogenix Inc,ZGNX,Nasdaq,Small Growth,Pharmaceuticals &,Pharmaceuticals
Air Products & Chemicals Inc,APD,"New York Stock Exchange, Inc.",Large Blend,Chemical & Synthetics,Chemicals: Specialty
AK Steel Holding Corp,AKS,"New York Stock Exchange, Inc.",Small Value,Metals & Minerals,Steel
Aluminum Corporation of China Ltd,ACH,"New York Stock Exchange, Inc.",Large Blend,Metals & Minerals,Aluminum
Anhui Conch Cement Co Ltd,914,Hong Kong Exchanges And Clearing Ltd,Large Blend,Building Materials,Cement
Anhui Conch Cement Co Ltd,600585,Shanghai Stock Exchange,Large Blend,Building Materials,Cement
Ashland Global Holdings Inc,ASH,"New York Stock Exchange, Inc.",Mid Blend,Chemical & Synthetics,Chemicals: Diversified
Asian Paints Ltd,500820,BSE LTD,Large Growth,Industrial Materials & Processes,Paints and coatings
Atul Ltd,500027,BSE LTD,Mid Growth,Chemical & Synthetics,Chemicals: Diversified
Beacon Roofing Supply Inc,BECN,Nasdaq,Small Value,Building Materials,"Building: Roofing, wallboard & plumbing"
Berger Paints India Ltd,509480,BSE LTD,Large Growth,Industrial Materials & Processes,Paints and coatings
BHP Group PLC,BHP,London Stock Exchange,Large Value,Metals & Minerals,Metals and minerals: Diversified
Braskem SA,BRKM5,"B3 S.A. - Brasil, Bolsa, Balcão",Mid Value,Chemical & Synthetics,Chemicals: Specialty
Carclo PLC,CAR,London Stock Exchange,Small Value,Industrial Materials & Processes,Plastics
China Natural Resources Inc,CHNR,Nasdaq,Not Available,Metals & Minerals,Metals and minerals: Diversified
Clearwater Paper Corp,CLW,"New York Stock Exchange, Inc.",Small Value,Industrial Materials & Processes,Paper
Companhia Siderurgica Nacional,CSNA3,"B3 S.A. - Brasil, Bolsa, Balcão",Mid Growth,Metals & Minerals,Steel
Eastman Chemical Co,EMN,"New York Stock Exchange, Inc.",Mid Value,Chemical & Synthetics,Chemicals: Diversified
Ferguson PLC,FERG,London Stock Exchange,Mid Value,Building Materials,Building: Climate control
FMC Corp,FMC,"New York Stock Exchange, Inc.",Mid Blend,Chemical & Synthetics,Fertilizers
Freeport-McMoRan Inc,FCX,"New York Stock Exchange, Inc.",Mid Blend,Metals & Minerals,Copper
Fuwei Films (Holdings) Co Ltd,FFHL,Nasdaq,Small Value,Industrial Materials & Processes,Diversified materials and processing
Gerdau SA,GGBR4,"B3 S.A. - Brasil, Bolsa, Balcão",Large Value,Metals & Minerals,Steel
Gibraltar Industries Inc,ROCK,Nasdaq,Small Growth,Building Materials,Building materials
Hindalco Industries Ltd,500440,BSE LTD,Large Value,Metals & Minerals,Metals and minerals: Diversified
Innospec Inc,IOSP,Nasdaq,Small Growth,Chemical & Synthetics,Chemicals: Specialty
Johnson Matthey PLC,JMAT,London Stock Exchange,Mid Value,Chemical & Synthetics,Chemicals: Diversified
Kaiser Aluminum Corp,KALU,Nasdaq,Small Blend,Metals & Minerals,Aluminum
Kirkland Lake Gold Ltd,KL,Toronto Stock Exchange,Large Blend,Metals & Minerals,Gold
Klabin SA,KLBN11,"B3 S.A. - Brasil, Bolsa, Balcão",Not Available,Industrial Materials & Processes,Paper
MelodyVR Group PLC,MVR,London Stock Exchange,Small Growth,Metals & Minerals,Steel
Mondi PLC,MNDI,London Stock Exchange,Mid Value,Industrial Materials & Processes,Paper
Neenah Inc,NP,"New York Stock Exchange, Inc.",Small Blend,Industrial Materials & Processes,Diversified materials and processing
Northern Technologies International Corp,NTIC,Nasdaq,Small Growth,Chemical & Synthetics,Chemicals: Specialty
POSCO,PKX,"New York Stock Exchange, Inc.",Large Value,Metals & Minerals,Steel
Quaker Chemical Corp,KWR,"New York Stock Exchange, Inc.",Small Growth,Chemical & Synthetics,Chemicals: Specialty
RBC Bearings Inc,ROLL,Nasdaq,Small Growth,Metals & Minerals,Metal fabricating
Rio Tinto PLC,RIO,London Stock Exchange,Large Value,Metals & Minerals,Metals and minerals: Diversified
Rio Tinto PLC,RIO,"New York Stock Exchange, Inc.",Large Value,Metals & Minerals,Metals and minerals: Diversified
Royal Gold Inc,RGLD,Nasdaq,Mid Blend,Metals & Minerals,Gold
SSR Mining Inc,SSRM,Nasdaq,Mid Blend,Metals & Minerals,Precious metals and minerals
Suzano SA,SUZB3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Blend,Industrial Materials & Processes,Paper
Tata Steel Ltd,500470,BSE LTD,Large Blend,Metals & Minerals,Steel
UltraTech Cement Ltd,532538,BSE LTD,Large Blend,Building Materials,Cement
United States Steel Corp,X,"New York Stock Exchange, Inc.",Small Value,Metals & Minerals,Steel
Vale SA,VALE3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Blend,Metals & Minerals,Metals and minerals: Diversified
Vedanta Ltd,500295,BSE LTD,Large Value,Metals & Minerals,Metals and minerals: Diversified
Air Canada,AC,Toronto Stock Exchange,Not Available,Transportation & Freight,Air transport
American Airlines Group Inc,AAL,Nasdaq,Mid Value,Transportation & Freight,Air transport
ArcBest Corp,ARCB,Nasdaq,Small Blend,Transportation & Freight,Truckers
ASGN Inc,ASGN,"New York Stock Exchange, Inc.",Small Blend,Commercial Services,"Back office support, HR & consulting"
Ashley House PLC,ASH,London Stock Exchange,Small Value,Manufacturing & Production,Construction
Bharat Heavy Electricals Ltd,500103,BSE LTD,Mid Blend,Manufacturing & Production,Power transmission equipment
Boeing Co,BA,"New York Stock Exchange, Inc.",Large Value,Transportation & Freight,Aerospace
Bombardier Inc,BBD.B,Toronto Stock Exchange,Small Value,Transportation & Freight,Aerospace
Bunzl PLC,BNZL,London Stock Exchange,Mid Growth,Manufacturing & Production,Diversified manufacturing operations
Cargojet Inc,CJT,Toronto Stock Exchange,Small Growth,Transportation & Freight,Air transport
CCR SA,CCRO3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Blend,Transportation & Freight,Transportation miscellaneous
China Eastern Airlines Corp Ltd,CEA,"New York Stock Exchange, Inc.",Large Value,Transportation & Freight,Air transport
China Southern Airlines Co Ltd,ZNH,"New York Stock Exchange, Inc.",Large Value,Transportation & Freight,Air transport
China State Construction International Holdings Ltd,3311,Hong Kong Exchanges And Clearing Ltd,Mid Value,Manufacturing & Production,Construction
China Yuchai International Ltd,CYD,"New York Stock Exchange, Inc.",Small Value,Machinery,Machinery: Engines
CITIC Ltd,267,Hong Kong Exchanges And Clearing Ltd,Large Value,Manufacturing & Production,Diversified manufacturing operations
Delta Air Lines Inc,DAL,"New York Stock Exchange, Inc.",Mid Value,Transportation & Freight,Air transport
Douglas Dynamics Inc,PLOW,"New York Stock Exchange, Inc.",Small Growth,Machinery,Machinery: Construction and handling
easyJet PLC,EZJ,London Stock Exchange,Mid Value,Transportation & Freight,Air transport
eClerx Services Ltd,532927,BSE LTD,Small Value,Commercial Services,"Back office support, HR & consulting"
Embraer SA,EMBR3,"B3 S.A. - Brasil, Bolsa, Balcão",Mid Blend,Transportation & Freight,Aerospace
FTI Consulting Inc,FCN,"New York Stock Exchange, Inc.",Mid Growth,Commercial Services,"Back office support, HR & consulting"
Guangshen Railway Co Ltd,GSH,"New York Stock Exchange, Inc.",Mid Value,Transportation & Freight,Railroads
Heartland Express Inc,HTLD,Nasdaq,Small Blend,Transportation & Freight,Truckers
JetBlue Airways Corp,JBLU,Nasdaq,Small Blend,Transportation & Freight,Air transport
Kansas City Southern,KSU,"New York Stock Exchange, Inc.",Mid Growth,Transportation & Freight,Railroads
Larsen & Toubro Ltd,500510,BSE LTD,Large Blend,Commercial Services,Engineering and contracting services
Lockheed Martin Corp,LMT,"New York Stock Exchange, Inc.",Large Blend,Transportation & Freight,Aerospace
Navigant Consulting Inc,NCI,"New York Stock Exchange, Inc.",Small Blend,Commercial Services,"Back office support, HR & consulting"
PACCAR Inc,PCAR,Nasdaq,Large Blend,Transportation & Freight,Commercial vehicles and parts
Rolls-Royce Holdings PLC,RR.,London Stock Exchange,Mid Value,Transportation & Freight,Aerospace
Rumo SA,RAIL3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Growth,Transportation & Freight,Transportation miscellaneous
Shanghai International Airport Co Ltd,600009,Shanghai Stock Exchange,Large Growth,Transportation & Freight,Air transport
SkyWest Inc,SKYW,Nasdaq,Small Value,Transportation & Freight,Air transport
Smiths Group PLC,SMIN,London Stock Exchange,Mid Value,Manufacturing & Production,Diversified manufacturing operations
Snap-on Inc,SNA,"New York Stock Exchange, Inc.",Mid Value,Machinery,Machinery: Tools
Southwest Airlines Co,LUV,"New York Stock Exchange, Inc.",Mid Value,Transportation & Freight,Air transport
Spirit Airlines Inc,SAVE,"New York Stock Exchange, Inc.",Small Blend,Transportation & Freight,Air transport
The Middleby Corp,MIDD,Nasdaq,Mid Blend,Machinery,Machinery: Industrial
The Shyft Group Inc,SHYF,Nasdaq,Small Growth,Transportation & Freight,Commercial vehicles and parts
Titan International Inc,TWI,"New York Stock Exchange, Inc.",Small Value,Machinery,Machinery: Agricultural
Verisk Analytics Inc,VRSK,Nasdaq,Large Blend,Commercial Services,"Back office support, HR & consulting"
Wabash National Corp,WNC,"New York Stock Exchange, Inc.",Small Value,Transportation & Freight,Commercial vehicles and parts
Weg SA,WEGE3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Growth,Machinery,Machinery: Industrial
ZTO Express,ZTO,"New York Stock Exchange, Inc.",Not Available,Transportation &,Air transport
Adobe Inc,ADBE,Nasdaq,Large Growth,Information Technology,Computer services software and systems
Alibaba Group Holding Ltd,BABA,"New York Stock Exchange, Inc.",Large Growth,Information Technology,Computer services software and systems
Alphabet Inc,GOOG,Nasdaq,Large Growth,Information Technology,Computer services software and systems
Altaba Inc,AABA,Nasdaq,Mid Growth,Information Technology,Computer services software and systems
Apple Inc,AAPL,Nasdaq,Large Blend,Information Technology,Computer technology
Arista Networks Inc,ANET,"New York Stock Exchange, Inc.",Mid Growth,Information Technology,Computer services software and systems
Astra Microwave Products Ltd,532493,BSE LTD,Small Blend,Telecommunication,Telecommunications equipment
Baidu Inc,BIDU,Nasdaq,Not Available,Information Technology,Computer services software and systems
Benefitfocus Inc,BNFT,Nasdaq,Small Growth,Information Technology,Computer services software and systems
Cognizant Technology Solutions Corp,CTSH,Nasdaq,Large Blend,Information Technology,Computer services software and systems
Constellation Software Inc,CSU,Toronto Stock Exchange,Large Growth,Information Technology,Computer services software and systems
discoverIE Group PLC,DSCV,London Stock Exchange,Small Growth,Electronics,Electronics
DXC Technology Co,DXC,"New York Stock Exchange, Inc.",Mid Value,Information Technology,Computer services software and systems
Enghouse Systems Ltd,ENGH,Toronto Stock Exchange,Mid Growth,Information Technology,Computer services software and systems
Facebook Inc,FB,Nasdaq,Large Growth,Information Technology,Computer services software and systems
Foxconn Industrial Internet Co Ltd,601138,Shanghai Stock Exchange,Large Value,Telecommunication,Telecommunications equipment
Groupon Inc,GRPN,Nasdaq,Small Value,Information Technology,Computer services software and systems
Hangzhou Hik-Vision Digital Technology Co Ltd,2415,Shenzhen Stock Exchange,Large Blend,Electronics,Electronic components
HCL Technologies Ltd,532281,BSE LTD,Large Blend,Information Technology,Computer services software and systems
Hexaware Technologies Ltd,532129,BSE LTD,Mid Growth,Information Technology,Computer services software and systems
Infosys Ltd,500209,BSE LTD,Large Blend,Information Technology,Computer services software and systems
Just Dial Ltd,535648,BSE LTD,Small Growth,Information Technology,Computer services software and systems
Manhattan Associates Inc,MANH,Nasdaq,Mid Blend,Information Technology,Computer services software and systems
Meituan Dianping,3690,Hong Kong Exchanges And Clearing Ltd,Not Available,Information Technology,Computer services software and systems
Micro Focus International PLC,MCRO,London Stock Exchange,Small Value,Information Technology,Computer services software and systems
Microsoft Corp,MSFT,Nasdaq,Large Growth,Information Technology,Computer services software and systems
MindTree Ltd,532819,BSE LTD,Mid Blend,Information Technology,Computer services software and systems
NetEase Inc,NTES,Nasdaq,Large Growth,Information Technology,Computer services software and systems
NIIT Ltd,500304,BSE LTD,Small Blend,Information Technology,Computer services software and systems
NXP Semiconductors NV,NXPI,Nasdaq,Large Blend,Electronics,Semiconductors and components
Oracle Corp,ORCL,"New York Stock Exchange, Inc.",Large Value,Information Technology,Computer services software and systems
Sage Group (The) PLC,SGE,London Stock Exchange,Mid Blend,Information Technology,Computer services software and systems
Shopify Inc,SHOP,Toronto Stock Exchange,Large Growth,Information Technology,Computer services software and systems
SINA Corp,SINA,Nasdaq,Mid Value,Information Technology,Computer services software and systems
Slack Technologies Inc,WORK,"New York Stock Exchange, Inc.",Not Available,Information Technology,Computer services software and systems
Sohu.com Ltd,SOHU,Nasdaq,Not Available,Information Technology,Computer services software and systems
Tata Consultancy Services Ltd,532540,BSE LTD,Large Blend,Information Technology,Computer services software and systems
Tech Mahindra Ltd,532755,BSE LTD,Large Blend,Information Technology,Computer services software and systems
Tencent Holdings Ltd,700,Hong Kong Exchanges And Clearing Ltd,Large Growth,Information Technology,Computer services software and systems
The9 Ltd,NCTY,Nasdaq,Not Available,Information Technology,Electronic entertainment
Twitter Inc,TWTR,"New York Stock Exchange, Inc.",Mid Growth,Information Technology,Computer services software and systems
UTStarcom Holdings Corp,UTSI,Nasdaq,Small Value,Telecommunication,Telecommunications equipment
Wipro Ltd,507685,BSE LTD,Large Blend,Information Technology,Computer services software and systems
Zynga Inc,ZNGA,Nasdaq,Mid Growth,Information Technology,Electronic entertainment
American Electric Power Co Inc,AEP,"New York Stock Exchange, Inc.",Large Value,Utilities,Utilities: Electrical
American Water Works Co Inc,AWK,"New York Stock Exchange, Inc.",Mid Blend,Utilities,Utilities: Water
AT&T Inc,T,"New York Stock Exchange, Inc.",Large Value,Utilities,Utilities: Telecommunications
BCE Inc,BCE,Toronto Stock Exchange,Large Blend,Utilities,Utilities: Telecommunications
Bharti Airtel Ltd,532454,BSE LTD,Large Value,Utilities,Utilities: Telecommunications
BT Group PLC,BT.A,London Stock Exchange,Mid Value,Utilities,Utilities: Telecommunications
Canadian Utilities Ltd,CU,Toronto Stock Exchange,Mid Blend,Utilities,Utilities: Miscellaneous
Centrais Eletricas Brasileiras SA,ELET3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Value,Utilities,Utilities: Electrical
Centrais Eletricas Brasileiras SA,ELET6,"B3 S.A. - Brasil, Bolsa, Balcão",Large Value,Utilities,Utilities: Electrical
China Gas Holdings Ltd,384,Hong Kong Exchanges And Clearing Ltd,Large Blend,Utilities,Utilities: Gas distributors
China Mobile Ltd,941,Hong Kong Exchanges And Clearing Ltd,Large Value,Utilities,Utilities: Telecommunications
China Mobile Ltd,CHL,"New York Stock Exchange, Inc.",Large Value,Utilities,Utilities: Telecommunications
China Telecom Corp Ltd,CHA,"New York Stock Exchange, Inc.",Large Value,Utilities,Utilities: Telecommunications
China Unicom (Hong Kong) Ltd,CHU,"New York Stock Exchange, Inc.",Large Value,Utilities,Utilities: Telecommunications
China Yangtze Power Co Ltd,600900,Shanghai Stock Exchange,Large Value,Utilities,Utilities: Electrical
Companhia De Saneamento Basico Do Estado De Sao Paulo,SBSP3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Growth,Utilities,Utilities: Water
Dominion Energy Inc,D,"New York Stock Exchange, Inc.",Large Value,Utilities,Utilities: Electrical
Energisa SA,ENGI11,"B3 S.A. - Brasil, Bolsa, Balcão",Not Available,Utilities,Utilities: Electrical
Energy Company of Minas Gerais,CMIG4,"B3 S.A. - Brasil, Bolsa, Balcão",Mid Value,Utilities,Utilities: Electrical
ENGIE Brasil Energia SA,EGIE3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Blend,Utilities,Utilities: Electrical
Equatorial Energia SA,EQTL3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Growth,Utilities,Utilities: Electrical
Essential Utilities Inc,WTRG,"New York Stock Exchange, Inc.",Mid Blend,Utilities,Utilities: Water
FirstEnergy Corp,FE,"New York Stock Exchange, Inc.",Mid Value,Utilities,Utilities: Electrical
GAIL (India) Ltd,532155,BSE LTD,Large Value,Utilities,Utilities: Gas distributors
Gogo Inc,GOGO,Nasdaq,Small Blend,Utilities,Utilities: Telecommunications
GTT Communications Inc,GTT,"New York Stock Exchange, Inc.",Small Blend,Utilities,Utilities: Telecommunications
Gujarat Industries Power Co Ltd,517300,BSE LTD,Small Value,Utilities,Utilities: Electrical
Huaneng Power International Inc,HNP,"New York Stock Exchange, Inc.",Large Value,Utilities,Utilities: Electrical
Mahanagar Telephone Nigam Ltd,500108,BSE LTD,Small Value,Utilities,Utilities: Telecommunications
Middlesex Water Co,MSEX,Nasdaq,Small Blend,Utilities,Utilities: Water
National Fuel Gas Co,NFG,"New York Stock Exchange, Inc.",Small Value,Utilities,Utilities: Gas distributors
NTPC Ltd,532555,BSE LTD,Large Value,Utilities,Utilities: Electrical
PG&E Corp,PCG,"New York Stock Exchange, Inc.",Mid Value,Utilities,Utilities: Electrical
Power Grid Corp Of India Ltd,532898,BSE LTD,Large Value,Utilities,Utilities: Electrical
Sempra Energy,SRE,"New York Stock Exchange, Inc.",Large Value,Utilities,Utilities: Miscellaneous
Severn Trent PLC,SVT,London Stock Exchange,Mid Value,Utilities,Utilities: Water
SJW Group,SJW,"New York Stock Exchange, Inc.",Small Blend,Utilities,Utilities: Water
Southern Co,SO,"New York Stock Exchange, Inc.",Large Value,Utilities,Utilities: Electrical
Sprint Corp,S,"New York Stock Exchange, Inc.",Large Value,Utilities,Utilities: Telecommunications
SSE PLC,SSE,London Stock Exchange,Large Value,Utilities,Utilities: Electrical
Tata Power Co Ltd,500400,BSE LTD,Mid Value,Utilities,Utilities: Electrical
Telefonica Brasil SA,VIVT4,"B3 S.A. - Brasil, Bolsa, Balcão",Large Value,Utilities,Utilities: Telecommunications
The York Water Co,YORW,Nasdaq,Small Blend,Utilities,Utilities: Water
Tim Participacoes SA,TIMP3,"B3 S.A. - Brasil, Bolsa, Balcão",Large Growth,Utilities,Utilities: Telecommunications
UGI Corp,UGI,"New York Stock Exchange, Inc.",Mid Value,Utilities,Utilities: Gas distributors
United Utilities Group PLC,UU.,London Stock Exchange,Mid Value,Utilities,Utilities: Water
Verizon Communications Inc,VZ,"New York Stock Exchange, Inc.",Large Value,Utilities,Utilities: Telecommunications
Vodafone Group PLC,VOD,London Stock Exchange,Large Value,Utilities,Utilities: Telecommunications
Vodafone Group PLC,VOD,Nasdaq,Large Value,Utilities,Utilities: Telecommunications
